기업체명,업력(월),기업규모,업종(대분류),지역(광역시도),지역(시군구)
주식회사 지천이앤씨,178,중소기업,부동산업,경기도,수원시
(주)이그잭스토너,255,중소기업,제조업,경상북도,구미시
경원농산(주),412,판단불가,건설업,경기도,고양시
유에스더블유유동화전문유한회사,90,중소기업,금융 및 보험업,서울특별시,중구
(주)케이엔비,208,중소기업,도매 및 소매업,서울특별시,영등포구
(주)포스코인재창조원,74,대기업,교육 서비스업,인천광역시,연수구
주식회사 금호개발,299,판단불가,"전문, 과학 및 기술 서비스업",전라남도,해남군
(주)원막,174,중소기업,건설업,경상남도,통영시
주식회사 청영건설,300,중소기업,부동산업,경기도,수원시
(주)짜임,303,중소기업,부동산업,경기도,성남시
신보채안펀드제일차유동화전문 유한회사,145,판단불가,금융 및 보험업,인천광역시,남구
주식회사 트라이앤고,276,중소기업,부동산업,서울특별시,서초구
(주)우리에셋대부,150,중소기업,금융 및 보험업,서울특별시,강남구
에이스하이홀딩스(주),106,중견기업,"사업시설 관리, 사업 지원 및 임대 서비스업",서울특별시,구로구
(주)옴니크리에트,268,중소기업,도매 및 소매업,경기도,성남시
(주)타임교육,131,중견기업,교육 서비스업,서울특별시,강남구
판단불가,판단불가,판단불가,판단불가,판단불가,판단불가
(주)동훈와이케이,208,중소기업,부동산업,서울특별시,강남구
(주)성연아이앤씨,231,중소기업,제조업,서울특별시,성동구
광평개발(주),361,중소기업,도매 및 소매업,서울특별시,영등포구
(주)우남건설,319,중소기업,건설업,전라북도,익산시
한독옵텍주식회사,514,중소기업,제조업,충청남도,공주군
노스타코리아 주식회사,238,판단불가,"전문, 과학 및 기술 서비스업",서울특별시,강남구
모아마스제육차유동화전문 유한회사,114,판단불가,금융 및 보험업,인천광역시,남구
한국CES주식회사,267,중소기업,"전기, 가스, 증기 및 공기 조절 공급업",광주광역시,서구
주식회사 캐피탈익스프레스,149,중소기업,"전문, 과학 및 기술 서비스업",서울특별시,강남구
대경석유 주식회사,329,중소기업,도매 및 소매업,경기도,양주시
주식회사 에버빌리조트,226,중소기업,"예술, 스포츠 및 여가관련 서비스업",서울특별시,강남구
(주)만훈,169,중소기업,건설업,경상북도,구미시
삼보인더스트리주식회사,224,중소기업,건설업,서울특별시,강남구
대아권선기술(주),280,중소기업,제조업,경기도,수원시
판단불가,판단불가,판단불가,판단불가,판단불가,판단불가
에이지개발(주),206,판단불가,부동산업,서울특별시,강남구
주식회사 돌탑,205,중소기업,제조업,인천광역시,서구
(주)아싸,372,중소기업,제조업,인천광역시,남동구
(주)싸이먼,404,중소기업,제조업,서울특별시,금천구
(주)웰하우스,294,중소기업,제조업,인천광역시,강화군
(주)시화스텐,137,중소기업,도매 및 소매업,경기도,시흥시
주식회사 야호텍,306,중소기업,제조업,경상남도,김해시
주식회사제이스,262,중소기업,제조업,경기도,안산시
(주)오피엠에스,205,중견기업,정보통신업,서울특별시,강남구
주식회사 삼진종합건설,459,중소기업,건설업,광주광역시,남구
시선바로세움주식회사,157,중소기업,금융 및 보험업,서울특별시,중구
주식회사 예전미디어,307,중소기업,정보통신업,서울특별시,마포구
신특수건설(주),490,판단불가,건설업,경기도,용인시
(주)신청담에듀,202,중기업,교육 서비스업,서울특별시,서초구
(주)거보종합기술,272,판단불가,제조업,대전광역시,유성구
반도환경개발주식회사,456,중소기업,건설업,경기도,용인시
레인보우스케이프(주),345,중소기업,건설업,경기도,광주시
승진건설주식회사,269,판단불가,건설업,서울특별시,서초구
청암에이엔디(주),254,중소기업,부동산업,서울특별시,중구
신영전자주식회사,411,중소기업,제조업,대구광역시,달성군
한성전자 주식회사,217,중소기업,제조업,경기도,화성시
(주)부산저축은행,618,대기업,금융 및 보험업,부산광역시,동구
(주)문경신소재,267,소기업,광업,경상북도,문경시
주식회사 청심,236,중소기업,"사업시설 관리, 사업 지원 및 임대 서비스업",서울특별시,종로구
(주)이앤에프식품,211,중소기업,제조업,부산광역시,기장군
석영개발(주),230,중기업,도매 및 소매업,경기도,용인시
거봉산업,434,소기업,제조업,인천광역시,남동구
스마트에스제십일차유동화전문 유한회사,125,판단불가,금융 및 보험업,서울특별시,영등포구
삼성석회(주),442,중기업,광업,강원도,영월군
대호건설 주식회사,334,중소기업,건설업,충청남도,서산시
주식회사 일성자동화,205,중소기업,건설업,경기도,광주시
뉴스타강동제일차 주식회사,144,중소기업,금융 및 보험업,서울특별시,영등포구
서한모방(주),569,중소기업,제조업,충청북도,청주시
주식회사가은투자개발,187,중소기업,부동산업,경기도,성남시
주식회사여수수산물특화시장,220,중소기업,부동산업,전라남도,여수시
아이라인텔레콤(주),185,판단불가,정보통신업,서울특별시,영등포구
(주)세라젬메디시스,194,중소기업,제조업,충청남도,천안시
주식회사 백용,283,중소기업,도매 및 소매업,부산광역시,서구
대명전기(주),352,중소기업,제조업,경기도,성남시
(주)남북양행,465,중소기업,도매 및 소매업,서울특별시,서초구
주식회사 휴앤라이프,142,중소기업,제조업,서울특별시,강남구
(주)삼아아시아,405,중소기업,제조업,서울특별시,송파구
삼성복지상조(주),195,판단불가,"협회 및 단체, 수리 및 기타 개인 서비스업",부산광역시,연제구
(주)씨에스메탈스,153,중소기업,도매 및 소매업,서울특별시,강서구
미종산업개발(주),220,중소기업,부동산업,인천광역시,계양구
판단불가,판단불가,판단불가,판단불가,판단불가,판단불가
주식회사 한아름,188,중소기업,제조업,경기도,수원시
판단불가,판단불가,판단불가,판단불가,판단불가,판단불가
한국산업기술진흥협회,506,기타,"전문, 과학 및 기술 서비스업",서울특별시,강남구
(주)룩손글로벌,245,소기업,광업,서울특별시,강남구
주식회사 대윤피앤디,204,중소기업,부동산업,서울특별시,강남구
주식회사 신도컴퓨터,231,중소기업,도매 및 소매업,서울특별시,서초구
주식회사 펜타크리드,171,중소기업,정보통신업,서울특별시,강남구
(주)이남건설,291,중소기업,부동산업,서울특별시,강남구
세종텔레콤(주),354,중견기업,정보통신업,서울특별시,강동구
주식회사 송도골프,374,중소기업,"예술, 스포츠 및 여가관련 서비스업",인천광역시,연수구
정강스틸(주),245,판단불가,도매 및 소매업,경상남도,김해시
용산디앤씨 주식회사,123,중소기업,부동산업,서울특별시,영등포구
골든오일,135,소기업,0,경기도,구리시
(주)우아미씨앤에프,255,판단불가,도매 및 소매업,서울특별시,금천구
서빈산업주식회사,244,중소기업,"사업시설 관리, 사업 지원 및 임대 서비스업",서울특별시,강남구
(주)태원기업,404,소기업,광업,인천광역시,서구
삼익산업(주),406,중소기업,제조업,경기도,의왕시
재단법인감산장학회,287,기타,"협회 및 단체, 수리 및 기타 개인 서비스업",서울특별시,종로구
(주)계림물산,291,중견기업,제조업,경상북도,경산시
(주)엔케이솔루션,174,판단불가,정보통신업,부산광역시,해운대구
빌드개발전문자기관리부동산투자회사,127,판단불가,부동산업,서울특별시,서초구
주식회사 선창인터내셔널,336,중소기업,제조업,인천광역시,부평구
한창물산(주),374,중소기업,제조업,경상남도,김해시
주식회사 우성코러스산업,121,판단불가,부동산업,인천광역시,부평구
주식회사인터몰드,253,중소기업,제조업,경기도,평택시
(주)호스랜드,237,중소기업,부동산업,서울특별시,강남구
(주)에스제이디,280,중소기업,도매 및 소매업,서울특별시,강남구
(주)원인터내셔날,150,중소기업,도매 및 소매업,서울특별시,종로구
주식회사 신한아이앤씨,179,중소기업,금융 및 보험업,서울특별시,강남구
(주)세광스틸,301,중소기업,도매 및 소매업,서울특별시,영등포구
주식회사 이건환경,201,중소기업,제조업,경기도,김포시
(주)정도개발,308,중기업,도매 및 소매업,경기도,용인시
주식회사 제일종공,160,중소기업,제조업,경상남도,마산시
(주)금화텍스,201,중소기업,제조업,대구광역시,달서구
주식회사 씨맥,270,중소기업,도매 및 소매업,인천광역시,남구
조원그대가(주),179,중소기업,금융 및 보험업,서울특별시,중구
한일무역주식회사,265,중소기업,도매 및 소매업,경상남도,통영시
(주)다물,172,중소기업,부동산업,경상북도,경주시
해동중공업주식회사,187,중소기업,제조업,부산광역시,사상구
