정책ID,정책서비스ID,서비스명,태그-신청절차,태그-지원유형,태그-지역(시도),태그-지역(시군구),태그-기업규모,태그-업종(대분류),태그-업력(시작),태그-업력(종료)
1,116010000027,‘힘내라 대한민국’특별운영자금 (산업은행),복합,"현금,현물",전국,전체,중소기업/중견기업,무관,0.0,0.0
2,119200000016,원양어업 경영자금 지원,오프라인,"현금,현물",전국,전체,무관,"농업, 임업 및 어업",0.0,0.0
3,119200000024,수산장비 구입 지원,오프라인,"현금,현물",전국,전체,무관,"농업, 임업 및 어업/제조업",0.0,0.0
4,119200000027,산지 및 소비지 유통자금 융자 지원,오프라인,"현금,현물",전국,전체,무관,도매 및 소매업,0.0,0.0
5,119200000044,수산경영인회생자금,오프라인,"현금,현물",전국,전체,무관,"농업, 임업 및 어업",0.0,0.0
6,119200000045,어업경영자금 지원,오프라인,"현금,현물",전국,전체,무관,"농업, 임업 및 어업",0.0,0.0
8,119200000074,천일염 장기저장시설 설치지원,오프라인,"현금,현물",전국,전체,무관,"농업, 임업 및 어업",0.0,0.0
9,119200000075,천일염 생산시설 자동화지원,오프라인,"현금,현물",전국,전체,무관,무관,0.0,0.0
10,119200000077,천일염포장재지원,오프라인,"현금,현물",전국,전체,무관,"농업, 임업 및 어업",0.0,0.0
11,119200000078,염전 바닥재 개선 지원,오프라인,"현금,현물",전국,전체,무관,"농업, 임업 및 어업",0.0,0.0
12,119200000097,연근해어업생산자 단체 자조금 지원,오프라인,"현금,현물",전국,전체,무관,무관,0.0,0.0
13,119200000111,수산동물질병 예방백신 공급 지원,오프라인,"현금,현물",전국,전체,무관,"농업, 임업 및 어업/전문, 과학 및 기술 서비스업/교육 서비스업",0.0,0.0
14,119200000116,쏙 구제 장비 구매 및 임대료 지원,오프라인,"현금,현물",전국,전체,무관,"농업, 임업 및 어업/사업시설 관리, 사업 지원 및 임대 서비스업",0.0,0.0
15,119200000126,양식장 친환경에너지 보급,오프라인,"현금,현물",전국,전체,무관,"농업, 임업 및 어업/전기, 가스, 증기 및 공기 조절 공급업/건설업",0.0,0.0
16,119200000136,수출 통관 지원,온라인,"현금,현물",전국,전체,무관,제조업/운수 및 창고업,0.0,0.0
